# MRF sequence pattern
# created: 2017-07-28T14:08:17.909000
# type: jiang
# length: 1000
# inv_delay (ms): 20.0
# min FA (ms): 0.0
# max FA (ms): 70.0
# min TR (ms): 16.0
# max TR (ms): 16.0
# min TE (ms): 5.5
# max TE (ms): 5.5
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
65.8,16.0,180.0,5.5
66.16,16.0,0.0,5.5
66.5,16.0,180.0,5.5
66.82,16.0,0.0,5.5
67.13,16.0,180.0,5.5
67.42,16.0,0.0,5.5
67.7,16.0,180.0,5.5
67.96,16.0,0.0,5.5
68.2,16.0,180.0,5.5
68.43,16.0,0.0,5.5
68.65,16.0,180.0,5.5
68.85,16.0,0.0,5.5
69.03,16.0,180.0,5.5
69.2,16.0,0.0,5.5
69.35,16.0,180.0,5.5
69.49,16.0,0.0,5.5
69.61,16.0,180.0,5.5
69.71,16.0,0.0,5.5
69.8,16.0,180.0,5.5
69.87,16.0,0.0,5.5
69.93,16.0,180.0,5.5
69.97,16.0,0.0,5.5
69.99,16.0,180.0,5.5
70.0,16.0,0.0,5.5
69.99,16.0,180.0,5.5
69.97,16.0,0.0,5.5
69.93,16.0,180.0,5.5
69.87,16.0,0.0,5.5
69.8,16.0,180.0,5.5
69.71,16.0,0.0,5.5
69.61,16.0,180.0,5.5
69.49,16.0,0.0,5.5
69.35,16.0,180.0,5.5
69.2,16.0,0.0,5.5
69.03,16.0,180.0,5.5
68.85,16.0,0.0,5.5
68.65,16.0,180.0,5.5
68.43,16.0,0.0,5.5
68.2,16.0,180.0,5.5
67.96,16.0,0.0,5.5
67.7,16.0,180.0,5.5
67.42,16.0,0.0,5.5
67.13,16.0,180.0,5.5
66.82,16.0,0.0,5.5
66.5,16.0,180.0,5.5
66.16,16.0,0.0,5.5
65.8,16.0,180.0,5.5
65.44,16.0,0.0,5.5
65.05,16.0,180.0,5.5
64.65,16.0,0.0,5.5
64.24,16.0,180.0,5.5
63.81,16.0,0.0,5.5
63.37,16.0,180.0,5.5
62.92,16.0,0.0,5.5
62.44,16.0,180.0,5.5
61.96,16.0,0.0,5.5
61.46,16.0,180.0,5.5
60.95,16.0,0.0,5.5
60.42,16.0,180.0,5.5
59.88,16.0,0.0,5.5
59.33,16.0,180.0,5.5
58.76,16.0,0.0,5.5
58.18,16.0,180.0,5.5
57.59,16.0,0.0,5.5
56.98,16.0,180.0,5.5
56.36,16.0,0.0,5.5
55.73,16.0,180.0,5.5
55.08,16.0,0.0,5.5
54.43,16.0,180.0,5.5
53.76,16.0,0.0,5.5
53.08,16.0,180.0,5.5
52.38,16.0,0.0,5.5
51.68,16.0,180.0,5.5
50.96,16.0,0.0,5.5
50.23,16.0,180.0,5.5
49.5,16.0,0.0,5.5
48.75,16.0,180.0,5.5
47.99,16.0,0.0,5.5
47.21,16.0,180.0,5.5
46.43,16.0,0.0,5.5
45.64,16.0,180.0,5.5
44.84,16.0,0.0,5.5
44.03,16.0,180.0,5.5
43.21,16.0,0.0,5.5
42.38,16.0,180.0,5.5
41.54,16.0,0.0,5.5
40.69,16.0,180.0,5.5
39.83,16.0,0.0,5.5
38.96,16.0,180.0,5.5
38.09,16.0,0.0,5.5
37.2,16.0,180.0,5.5
36.31,16.0,0.0,5.5
35.42,16.0,180.0,5.5
34.51,16.0,0.0,5.5
33.6,16.0,180.0,5.5
32.68,16.0,0.0,5.5
31.75,16.0,180.0,5.5
30.81,16.0,0.0,5.5
29.87,16.0,180.0,5.5
28.93,16.0,0.0,5.5
27.98,16.0,180.0,5.5
27.02,16.0,0.0,5.5
